time_step,i,j,seed_0,mean_margin,std_margin
380,0,1,0.39737164974212646,0.39737164974212646,0.0
390,0,1,0.4272692799568176,0.4272692799568176,0.0
400,0,1,0.4288198947906494,0.4288198947906494,0.0
410,0,1,0.4348974823951721,0.4348974823951721,0.0
420,0,1,0.45707595348358154,0.45707595348358154,0.0
430,0,1,0.4483187794685364,0.4483187794685364,0.0
440,0,1,0.45972269773483276,0.45972269773483276,0.0
450,0,1,0.45002567768096924,0.45002567768096924,0.0
460,0,1,0.44785547256469727,0.44785547256469727,0.0
470,0,1,0.4602516293525696,0.4602516293525696,0.0
480,0,1,0.4875164031982422,0.4875164031982422,0.0
490,0,1,0.49667155742645264,0.49667155742645264,0.0
500,0,1,0.5035207271575928,0.5035207271575928,0.0
510,0,1,0.5267006158828735,0.5267006158828735,0.0
520,0,1,0.5967882871627808,0.5967882871627808,0.0
530,0,1,0.5868427157402039,0.5868427157402039,0.0
540,0,1,0.6122963428497314,0.6122963428497314,0.0
550,0,1,0.6449110507965088,0.6449110507965088,0.0
560,0,1,0.6412217020988464,0.6412217020988464,0.0
570,0,1,0.6958445310592651,0.6958445310592651,0.0
580,0,1,0.6724512577056885,0.6724512577056885,0.0
590,0,1,0.6807909607887268,0.6807909607887268,0.0
600,0,1,0.641316831111908,0.641316831111908,0.0
610,0,1,0.6467514038085938,0.6467514038085938,0.0
620,0,1,0.6622895002365112,0.6622895002365112,0.0
630,0,1,0.6396757364273071,0.6396757364273071,0.0
640,0,1,0.6231162548065186,0.6231162548065186,0.0
650,0,1,0.6207868456840515,0.6207868456840515,0.0
660,0,1,0.6173151731491089,0.6173151731491089,0.0
670,0,1,0.5923532247543335,0.5923532247543335,0.0
680,0,1,0.5605329275131226,0.5605329275131226,0.0
690,0,1,0.528712272644043,0.528712272644043,0.0
700,0,1,0.5117884874343872,0.5117884874343872,0.0
710,0,1,0.5064989924430847,0.5064989924430847,0.0
720,0,1,0.534389317035675,0.534389317035675,0.0
730,0,1,0.530753493309021,0.530753493309021,0.0
740,0,1,0.5759779810905457,0.5759779810905457,0.0
750,0,1,0.6067589521408081,0.6067589521408081,0.0
760,0,1,0.6118304133415222,0.6118304133415222,0.0
770,0,1,0.638224720954895,0.638224720954895,0.0
780,0,1,0.6813104152679443,0.6813104152679443,0.0
790,0,1,0.6876882314682007,0.6876882314682007,0.0
800,0,1,0.6642252802848816,0.6642252802848816,0.0
810,0,1,0.6636679172515869,0.6636679172515869,0.0
820,0,1,0.6867514848709106,0.6867514848709106,0.0
830,0,1,0.6549599766731262,0.6549599766731262,0.0
840,0,1,0.6546276807785034,0.6546276807785034,0.0
850,0,1,0.6523134112358093,0.6523134112358093,0.0
860,0,1,0.6763690710067749,0.6763690710067749,0.0
870,0,1,0.7003134489059448,0.7003134489059448,0.0
880,0,1,0.7231935262680054,0.7231935262680054,0.0
890,0,1,0.7408639788627625,0.7408639788627625,0.0
900,0,1,0.7453596591949463,0.7453596591949463,0.0
910,0,1,0.7597030401229858,0.7597030401229858,0.0
920,0,1,0.7368303537368774,0.7368303537368774,0.0
930,0,1,0.7840889692306519,0.7840889692306519,0.0
940,0,1,0.7672629952430725,0.7672629952430725,0.0
950,0,1,0.771095335483551,0.771095335483551,0.0
960,0,1,0.753907322883606,0.753907322883606,0.0
970,0,1,0.7555492520332336,0.7555492520332336,0.0
980,0,1,0.7677095532417297,0.7677095532417297,0.0
990,0,1,0.7936248779296875,0.7936248779296875,0.0
1000,0,1,0.773158073425293,0.773158073425293,0.0
1010,0,1,0.773158073425293,0.773158073425293,0.0
1020,0,1,0.773158073425293,0.773158073425293,0.0
1030,0,1,0.773158073425293,0.773158073425293,0.0
1040,0,1,0.773158073425293,0.773158073425293,0.0
1050,0,1,0.773158073425293,0.773158073425293,0.0
1060,0,1,0.773158073425293,0.773158073425293,0.0
1070,0,1,0.773158073425293,0.773158073425293,0.0
1080,0,1,0.773158073425293,0.773158073425293,0.0
1090,0,1,0.773158073425293,0.773158073425293,0.0
1100,0,1,0.773158073425293,0.773158073425293,0.0
1110,0,1,0.773158073425293,0.773158073425293,0.0
1120,0,1,0.773158073425293,0.773158073425293,0.0
1130,0,1,0.773158073425293,0.773158073425293,0.0
1140,0,1,0.773158073425293,0.773158073425293,0.0
1150,0,1,0.773158073425293,0.773158073425293,0.0
1160,0,1,0.773158073425293,0.773158073425293,0.0
1170,0,1,0.773158073425293,0.773158073425293,0.0
1180,0,1,0.773158073425293,0.773158073425293,0.0
1190,0,1,0.773158073425293,0.773158073425293,0.0
1200,0,1,0.773158073425293,0.773158073425293,0.0
1210,0,1,0.773158073425293,0.773158073425293,0.0
1220,0,1,0.773158073425293,0.773158073425293,0.0
1230,0,1,0.773158073425293,0.773158073425293,0.0
1240,0,1,0.773158073425293,0.773158073425293,0.0
1250,0,1,0.773158073425293,0.773158073425293,0.0
1260,0,1,0.773158073425293,0.773158073425293,0.0
1270,0,1,0.773158073425293,0.773158073425293,0.0
1280,0,1,0.773158073425293,0.773158073425293,0.0
1290,0,1,0.773158073425293,0.773158073425293,0.0
1300,0,1,0.773158073425293,0.773158073425293,0.0
1310,0,1,0.773158073425293,0.773158073425293,0.0
1320,0,1,0.773158073425293,0.773158073425293,0.0
1330,0,1,0.773158073425293,0.773158073425293,0.0
1340,0,1,0.773158073425293,0.773158073425293,0.0
1350,0,1,0.773158073425293,0.773158073425293,0.0
1360,0,1,0.773158073425293,0.773158073425293,0.0
1370,0,1,0.773158073425293,0.773158073425293,0.0
1380,0,1,0.773158073425293,0.773158073425293,0.0
1390,0,1,0.773158073425293,0.773158073425293,0.0
1400,0,1,0.773158073425293,0.773158073425293,0.0
1410,0,1,0.773158073425293,0.773158073425293,0.0
1420,0,1,0.773158073425293,0.773158073425293,0.0
1430,0,1,0.773158073425293,0.773158073425293,0.0
1440,0,1,0.773158073425293,0.773158073425293,0.0
1450,0,1,0.773158073425293,0.773158073425293,0.0
1460,0,1,0.773158073425293,0.773158073425293,0.0
1470,0,1,0.773158073425293,0.773158073425293,0.0
1480,0,1,0.773158073425293,0.773158073425293,0.0
1490,0,1,0.773158073425293,0.773158073425293,0.0
1500,0,1,0.773158073425293,0.773158073425293,0.0
1510,0,1,0.773158073425293,0.773158073425293,0.0
1520,0,1,0.773158073425293,0.773158073425293,0.0
1530,0,1,0.773158073425293,0.773158073425293,0.0
1540,0,1,0.773158073425293,0.773158073425293,0.0
1550,0,1,0.773158073425293,0.773158073425293,0.0
1560,0,1,0.773158073425293,0.773158073425293,0.0
1570,0,1,0.773158073425293,0.773158073425293,0.0
1580,0,1,0.773158073425293,0.773158073425293,0.0
1590,0,1,0.773158073425293,0.773158073425293,0.0
1600,0,1,0.773158073425293,0.773158073425293,0.0
1610,0,1,0.773158073425293,0.773158073425293,0.0
